Place of interest,Station location,BiciMAD station,Station location,Indications
Instalación Deportiva Municipal Básica Maris Stella,CALLE DOCTOR TOLOSA LATOUR 18 Frente C. Informat. S.S.,Glorieta de Cádiz,Calle Antonio López nº 129,"https://www.google.com/maps/dir/40.37561971602255,-3.703376726464257/40.38895,-3.70017/@40.37561971602255,-3.703376726464257,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.703376726464257!2d40.37561971602255!1m0!3e2"
Instalación Deportiva Municipal Básica Martala I,CALLE PICO DE LOS ARTILLEROS 5 posterior,Marroquina,Calle Camino de los Vinateros nº 108,"https://www.google.com/maps/dir/40.40890578131284,-3.6402341225344186/40.408264,-3.646697/@40.40890578131284,-3.6402341225344186,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6402341225344186!2d40.40890578131284!1m0!3e2"
Instalación Deportiva Municipal Básica Maruja Mallo,AVENIDA MARUJA MALLO 7 c/v Conchita Montes,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.4781907268689,-3.6310289400506117/40.44370542379883,-3.648958444298144/@40.4781907268689,-3.6310289400506117,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6310289400506117!2d40.4781907268689!1m0!3e2"
Instalación Deportiva Municipal Básica María Inmaculada,CAMINO CRUCES  frente Condesa de Teba,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.37304552875526,-3.7572050357095375/40.40913630273305,-3.728533714316331/@40.37304552875526,-3.7572050357095375,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7572050357095375!2d40.37304552875526!1m0!3e2"
Instalación Deportiva Municipal Básica María de Austria,PARQUE EMPERATRIZ MARÍA DE AUSTRIA  Parque Sur,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,"https://www.google.com/maps/dir/40.379458518215856,-3.7265416703894907/40.398247,-3.716591/@40.379458518215856,-3.7265416703894907,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7265416703894907!2d40.379458518215856!1m0!3e2"
Instalación Deportiva Municipal Básica María de Villota,CALLE ESTEFANITA 3,Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.3485758079487,-3.6759305768300736/40.389258643579105,-3.6903589643353483/@40.3485758079487,-3.6759305768300736,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6759305768300736!2d40.3485758079487!1m0!3e2"
Instalación Deportiva Municipal Básica Matilde Gayo,CALLE MATILDE GAYO 4,Antonio López,Calle Eugenio Caxes frente al nº 12,"https://www.google.com/maps/dir/40.38993834608832,-3.702854085952854/40.3917871,-3.7026789/@40.38993834608832,-3.702854085952854,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.702854085952854!2d40.38993834608832!1m0!3e2"
Instalación Deportiva Municipal Básica Maíz,CALLE RICARDO BELTRAN Y ROZPIDE 28 frente calle Maíz,Glorieta de Cádiz,Calle Antonio López nº 129,"https://www.google.com/maps/dir/40.37541212545376,-3.7151896535378657/40.38895,-3.70017/@40.37541212545376,-3.7151896535378657,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7151896535378657!2d40.37541212545376!1m0!3e2"
Instalación Deportiva Municipal Básica Medio Amposta,CALLE ALBERIQUE  c/v Alconera,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.42900772144501,-3.6182140003992127/40.429706,-3.640994/@40.42900772144501,-3.6182140003992127,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6182140003992127!2d40.42900772144501!1m0!3e2"
Instalación Deportiva Municipal Básica Mercedes Arteaga,CALLE MERCEDES ARTEAGA S/N c/v San Pantaleón,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,"https://www.google.com/maps/dir/40.39285448180102,-3.7223142167649614/40.398247,-3.716591/@40.39285448180102,-3.7223142167649614,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7223142167649614!2d40.39285448180102!1m0!3e2"
Instalación Deportiva Municipal Básica Miguel Aracil,CALLE JOAQUIN LORENZO 39,Facultad Derecho,Avenida Complutense nº 23,"https://www.google.com/maps/dir/40.47423740722562,-3.727338140512541/40.45109,-3.72937/@40.47423740722562,-3.727338140512541,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.727338140512541!2d40.47423740722562!1m0!3e2"
Instalación Deportiva Municipal Básica Miguel Hernández,AVENIDA MIGUEL HERNANDEZ S/N frente al 36-38,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.38850190847638,-3.6350217118786703/40.400368,-3.634587/@40.38850190847638,-3.6350217118786703,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6350217118786703!2d40.38850190847638!1m0!3e2"
Instalación Deportiva Municipal Básica Miguel Riesco,CALLE MIGUEL RIESCO 7,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.46287029502265,-3.6321749881222796/40.44370542379883,-3.648958444298144/@40.46287029502265,-3.6321749881222796,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6321749881222796!2d40.46287029502265!1m0!3e2"
Instalación Deportiva Municipal Básica Miguel Riesco - Ramón Power,CALLE MIGUEL RIESCO 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.46193413382862,-3.632148755414652/40.44370542379883,-3.648958444298144/@40.46193413382862,-3.632148755414652,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.632148755414652!2d40.46193413382862!1m0!3e2"
Instalación Deportiva Municipal Básica Miguel Yuste,CALLE MIGUEL YUSTE  c/v Emilio Muñoz,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.434344810420576,-3.6225544602449005/40.429706,-3.640994/@40.434344810420576,-3.6225544602449005,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6225544602449005!2d40.434344810420576!1m0!3e2"
Instalación Deportiva Municipal Básica Minaya,CALLE MINAYA 5,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.46831590638329,-3.6361385381321285/40.44370542379883,-3.648958444298144/@40.46831590638329,-3.6361385381321285,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6361385381321285!2d40.46831590638329!1m0!3e2"
Instalación Deportiva Municipal Básica Mirador de la Reina (Cerro Minguete),CALLE MIRADOR DE LA REINA 2 c/v Cerro Minguete,Francos Rodríguez,Calle Francos Rodríguez nº 62,"https://www.google.com/maps/dir/40.48749191925204,-3.7269620439910502/40.45673408797698,-3.708002730875242/@40.48749191925204,-3.7269620439910502,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7269620439910502!2d40.48749191925204!1m0!3e2"
Instalación Deportiva Municipal Básica Mirasierra,CALLE NURIA 83,Pedro Rico,Calle Pedro Rico nº 4,"https://www.google.com/maps/dir/40.49489198180427,-3.711889917152989/40.481086,-3.688463/@40.49489198180427,-3.711889917152989,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.711889917152989!2d40.49489198180427!1m0!3e2"
Instalación Deportiva Municipal Básica Molino,PASEO MOLINO 2,Legazpi,Calle Bolívar nº 3,"https://www.google.com/maps/dir/40.390487119657564,-3.6941878490165/40.3914722,-3.6941944/@40.390487119657564,-3.6941878490165,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6941878490165!2d40.390487119657564!1m0!3e2"
Instalación Deportiva Municipal Básica Mondariz,PLAZA MONDARIZ 1,Pedro Rico,Calle Pedro Rico nº 4,"https://www.google.com/maps/dir/40.478823680515,-3.70542012801282/40.481086,-3.688463/@40.478823680515,-3.70542012801282,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.70542012801282!2d40.478823680515!1m0!3e2"
Instalación Deportiva Municipal Básica Monovar,CALLE MONOVAR 3,Pío XII,Avenida Pío XII nº 3,"https://www.google.com/maps/dir/40.4754249166852,-3.656909774001053/40.46041,-3.67712/@40.4754249166852,-3.656909774001053,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.656909774001053!2d40.4754249166852!1m0!3e2"
Instalación Deportiva Municipal Básica Montalbos,CALLE MONTALBOS 14,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.46443633174865,-3.637175309306409/40.44370542379883,-3.648958444298144/@40.46443633174865,-3.637175309306409,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.637175309306409!2d40.46443633174865!1m0!3e2"
Instalación Deportiva Municipal Básica Montecarmelo,CALLE MONASTERIO DE EL PAULAR 138,Pedro Rico,Calle Pedro Rico nº 4,"https://www.google.com/maps/dir/40.500438927851775,-3.700512809058562/40.481086,-3.688463/@40.500438927851775,-3.700512809058562,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.700512809058562!2d40.500438927851775!1m0!3e2"
Instalación Deportiva Municipal Básica Montecarmelo McDonald´s,AVENIDA MONTECARMELO 1,Pedro Rico,Calle Pedro Rico nº 4,"https://www.google.com/maps/dir/40.50184008646731,-3.6969247603864392/40.481086,-3.688463/@40.50184008646731,-3.6969247603864392,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6969247603864392!2d40.50184008646731!1m0!3e2"
Instalación Deportiva Municipal Básica Mozart,CALLE MOZART s/n,Paseo de la Florida,Paseo de la Florida nº 8,"https://www.google.com/maps/dir/40.4242665417876,-3.7212709022034463/40.4219665,-3.7224983/@40.4242665417876,-3.7212709022034463,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7212709022034463!2d40.4242665417876!1m0!3e2"
Instalación Deportiva Municipal Básica Mártires Maristas,AVENIDA MARTIRES MARISTAS 2 c/v Antonio Machado,Francos Rodríguez,Calle Francos Rodríguez nº 62,"https://www.google.com/maps/dir/40.46223975914155,-3.719777931388968/40.45673408797698,-3.708002730875242/@40.46223975914155,-3.719777931388968,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.719777931388968!2d40.46223975914155!1m0!3e2"
Instalación Deportiva Municipal Básica Nevado de Cumbal,CALLE NEVADO DEL CUMBAL 4,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.469280016703586,-3.63118145043629/40.44370542379883,-3.648958444298144/@40.469280016703586,-3.63118145043629,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.63118145043629!2d40.469280016703586!1m0!3e2"
Instalación Deportiva Municipal Básica Nicolasa Gómez,CALLE NICOLASA GOMEZ 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.44448358264842,-3.615148388183279/40.429706,-3.640994/@40.44448358264842,-3.615148388183279,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.615148388183279!2d40.44448358264842!1m0!3e2"
Instalación Deportiva Municipal Básica Novecento,CALLE NOVECENTO 6,Concordia,Calle Arroyo del Olivar nº 6,"https://www.google.com/maps/dir/40.37746079137422,-3.653695563861612/40.39382977920336,-3.6659362429356372/@40.37746079137422,-3.653695563861612,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.653695563861612!2d40.37746079137422!1m0!3e2"
Instalación Deportiva Municipal Básica Nuestra Señora de Loreto,CALLE TIMON 16,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.472636002948775,-3.585807144623962/40.44370542379883,-3.648958444298144/@40.472636002948775,-3.585807144623962,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.585807144623962!2d40.472636002948775!1m0!3e2"
Instalación Deportiva Municipal Básica Nuestra Señora de la Paloma,CARRERA SAN FRANCISCO 4,Plaza de los Carros,Carrera de San Francisco nº 1,"https://www.google.com/maps/dir/40.411196405684876,-3.712232920009733/40.4114041,-3.7114762/@40.411196405684876,-3.712232920009733,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.712232920009733!2d40.411196405684876!1m0!3e2"
Instalación Deportiva Municipal Básica Nueva Esperanza,CALLE ANOETA 1,Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.35262335736215,-3.6937759829159402/40.389258643579105,-3.6903589643353483/@40.35262335736215,-3.6937759829159402,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6937759829159402!2d40.35262335736215!1m0!3e2"
Instalación Deportiva Municipal Básica Ontanilla,AVENIDA LOS POBLADOS  C/V Ontanilla,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,"https://www.google.com/maps/dir/40.37450904700692,-3.728526373827137/40.398247,-3.716591/@40.37450904700692,-3.728526373827137,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.728526373827137!2d40.37450904700692!1m0!3e2"
Instalación Deportiva Municipal Básica Orcasur,AVENIDA ORCASUR 53,Glorieta de Cádiz,Calle Antonio López nº 129,"https://www.google.com/maps/dir/40.36548482367132,-3.7018344445764195/40.38895,-3.70017/@40.36548482367132,-3.7018344445764195,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7018344445764195!2d40.36548482367132!1m0!3e2"
Instalación Deportiva Municipal Básica Orión-Jupiter,CALLE ORION 52,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.47625087283375,-3.579998848197848/40.44370542379883,-3.648958444298144/@40.47625087283375,-3.579998848197848,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.579998848197848!2d40.47625087283375!1m0!3e2"
Instalación Deportiva Municipal Básica Oscar y Jesús,CALLE SOLEDAD CAZORLA 22,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.375549835763444,-3.770874016639184/40.40913630273305,-3.728533714316331/@40.375549835763444,-3.770874016639184,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.770874016639184!2d40.375549835763444!1m0!3e2"
Instalación Deportiva Municipal Básica Oyarzun,PLAZA OYARZUN 1,Glorieta de Cádiz,Calle Antonio López nº 129,"https://www.google.com/maps/dir/40.36828992969283,-3.7159977494418186/40.38895,-3.70017/@40.36828992969283,-3.7159977494418186,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7159977494418186!2d40.36828992969283!1m0!3e2"
Instalación Deportiva Municipal Básica P.A.R. Antonio López,CALLE ANTONIO LOPEZ 27,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,"https://www.google.com/maps/dir/40.39647249197412,-3.7127376145987063/40.398247,-3.716591/@40.39647249197412,-3.7127376145987063,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7127376145987063!2d40.39647249197412!1m0!3e2"
Instalación Deportiva Municipal Básica P.A.R. Avda. Marqués de Corbera,AVENIDA MARQUES DE CORBERA 62,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,"https://www.google.com/maps/dir/40.42725047921714,-3.6495207954387707/40.426207143200884,-3.651034981803642/@40.42725047921714,-3.6495207954387707,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6495207954387707!2d40.42725047921714!1m0!3e2"
Instalación Deportiva Municipal Básica P.A.R. Ramón Gómez de la Serna,CALLE RAMON GOMEZ DE LA SERNA 49,Francos Rodríguez,Calle Francos Rodríguez nº 62,"https://www.google.com/maps/dir/40.483568695572096,-3.7247841639257406/40.45673408797698,-3.708002730875242/@40.483568695572096,-3.7247841639257406,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7247841639257406!2d40.483568695572096!1m0!3e2"
Instalación Deportiva Municipal Básica PAR Manuel Noya,CALLE MANUEL NOYA 2 junto Puente Los Capuchinos,San Delfín,Calle San Delfín nº 9,"https://www.google.com/maps/dir/40.38907128615593,-3.7120469132313425/40.39440607959559,-3.7080429728445563/@40.38907128615593,-3.7120469132313425,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7120469132313425!2d40.38907128615593!1m0!3e2"
Instalación Deportiva Municipal Básica PAR Rafaela Ybarra,AVENIDA RAFAELA YBARRA 51,Glorieta de Cádiz,Calle Antonio López nº 129,"https://www.google.com/maps/dir/40.38063517341089,-3.7111687792815276/40.38895,-3.70017/@40.38063517341089,-3.7111687792815276,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7111687792815276!2d40.38063517341089!1m0!3e2"
Instalación Deportiva Municipal Básica Pablo Casals,PASEO ERMITA DEL SANTO 10,Puerta del Ángel,Plaza Puerta del Ángel nº 4,"https://www.google.com/maps/dir/40.41221418658154,-3.7238765894181416/40.413764,-3.728318/@40.41221418658154,-3.7238765894181416,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7238765894181416!2d40.41221418658154!1m0!3e2"
Instalación Deportiva Municipal Básica Padre Claret,CALLE PADRE CLARET 18,Corazón de María,Calle Santa Hortensia nº 31,"https://www.google.com/maps/dir/40.44961759191476,-3.6641939594197392/40.44421,-3.66683/@40.44961759191476,-3.6641939594197392,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6641939594197392!2d40.44961759191476!1m0!3e2"
Instalación Deportiva Municipal Básica Padre Damián,CALLE PADRE DAMIAN 26,Alberto Alcocer,Avenida de Alberto Alcocer nº 22,"https://www.google.com/maps/dir/40.45666161091837,-3.6859641722636525/40.4585318,-3.684715/@40.45666161091837,-3.6859641722636525,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6859641722636525!2d40.45666161091837!1m0!3e2"
Instalación Deportiva Municipal Básica Palomeras Bajas,CALLE PUERTO DE BALBARAN s/n,Concordia,Calle Arroyo del Olivar nº 6,"https://www.google.com/maps/dir/40.37819745002066,-3.660405647355635/40.39382977920336,-3.6659362429356372/@40.37819745002066,-3.660405647355635,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.660405647355635!2d40.37819745002066!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Adelfas,CALLE MARTINEZ CORROCHANO esquina  con calle Luis Mitjans 26,Conde de Casal,Plaza del Conde de Casal nº 8,"https://www.google.com/maps/dir/40.40327621720137,-3.6686877898019556/40.40635,-3.670422/@40.40327621720137,-3.6686877898019556,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6686877898019556!2d40.40327621720137!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Agustín Rodríguez Sahagún I,PASEO CAPITAN BLANCO ARGIBAY S/N Parque A. Rodríguez Sahagún,Francos Rodríguez,Calle Francos Rodríguez nº 62,"https://www.google.com/maps/dir/40.46757296045154,-3.7095960821382836/40.45673408797698,-3.708002730875242/@40.46757296045154,-3.7095960821382836,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7095960821382836!2d40.46757296045154!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Agustín Rodríguez Sahagún II,CALLE SINESIO DELGADO 30,Torre Cepsa,Calle Sinesio Delgado nº 2,"https://www.google.com/maps/dir/40.47406445678991,-3.687898995406082/40.47435,-3.68797/@40.47406445678991,-3.687898995406082,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.687898995406082!2d40.47406445678991!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Alfredo Kraus,CALLE MAR ADRIATICO 7,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.470138614017166,-3.638880685402964/40.44370542379883,-3.648958444298144/@40.470138614017166,-3.638880685402964,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.638880685402964!2d40.470138614017166!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Aluche,CALLE VALMOJADO 4,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.396755209740476,-3.757541291696218/40.40913630273305,-3.728533714316331/@40.396755209740476,-3.757541291696218,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.757541291696218!2d40.396755209740476!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Arroyo Fresno,AVENIDA VENTISQUERO DE LA CONDESA 43,Pedro Rico,Calle Pedro Rico nº 4,"https://www.google.com/maps/dir/40.49284296962057,-3.7169069720385446/40.481086,-3.688463/@40.49284296962057,-3.7169069720385446,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7169069720385446!2d40.49284296962057!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Arroyo Pozuelo I,CALLE ARROYO DE POZUELO 10,Facultad Derecho,Avenida Complutense nº 23,"https://www.google.com/maps/dir/40.451500510488586,-3.772885180717082/40.45109,-3.72937/@40.451500510488586,-3.772885180717082,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.772885180717082!2d40.451500510488586!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Boadilla,CARRETERA BOADILLA DEL MONTE 1,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.39882092157157,-3.76670867691338/40.40913630273305,-3.728533714316331/@40.39882092157157,-3.76670867691338,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.76670867691338!2d40.39882092157157!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Breogán,AVENIDA BRASILIA 2,Avenida Brasilia,Avenida de Brasilia frente al nº 9,"https://www.google.com/maps/dir/40.437141038651475,-3.660887719467943/40.43666,-3.66096/@40.437141038651475,-3.660887719467943,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.660887719467943!2d40.437141038651475!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Calle Onil,CALLE NAVIA 12 c/v Luis Chamizo,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.38610150059709,-3.7692152839405386/40.40913630273305,-3.728533714316331/@40.38610150059709,-3.7692152839405386,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7692152839405386!2d40.38610150059709!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Caramuel,CALLE SEPULVEDA s/n,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.40646058007316,-3.7291064770611655/40.40913630273305,-3.728533714316331/@40.40646058007316,-3.7291064770611655,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7291064770611655!2d40.40646058007316!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Cedral,"CALLE RODRIGUEZ ILLANES S/N esq. Arturo Soria, 233",Pío XII,Avenida Pío XII nº 3,"https://www.google.com/maps/dir/40.462882951414265,-3.6650441004626564/40.46041,-3.67712/@40.462882951414265,-3.6650441004626564,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6650441004626564!2d40.462882951414265!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Cerro Almodovar,PARQUE CERRO ALMODOVAR ,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.394906187239265,-3.748188333818695/40.40913630273305,-3.728533714316331/@40.394906187239265,-3.748188333818695,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.748188333818695!2d40.394906187239265!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Cerro Almodóvar,CALLE CERRO DE ALMODOVAR 9,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.38168820146643,-3.602327770076511/40.400368,-3.634587/@40.38168820146643,-3.602327770076511,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.602327770076511!2d40.38168820146643!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Cuña Verde,AVENIDA DAROCA 300,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.40969329689759,-3.618025439807104/40.400368,-3.634587/@40.40969329689759,-3.618025439807104,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.618025439807104!2d40.40969329689759!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Darwin,AVENIDA MORATALAZ 93,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,"https://www.google.com/maps/dir/40.406363729501784,-3.654976847656905/40.40617,-3.65122/@40.406363729501784,-3.654976847656905,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.654976847656905!2d40.406363729501784!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Deportivo Doctor García Tapia 1,CALLE CARMEN AMAYA 3 Posterior,Camino Vinateros,Calle Camino de los Vinateros nº 28,"https://www.google.com/maps/dir/40.412165904142334,-3.656506372334948/40.41053,-3.65779/@40.412165904142334,-3.656506372334948,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.656506372334948!2d40.412165904142334!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Deportivo Doctor García Tapia 2,CALLE CARMEN AMAYA 1 posterior,Camino Vinateros,Calle Camino de los Vinateros nº 28,"https://www.google.com/maps/dir/40.4121646993816,-3.6567185117699/40.41053,-3.65779/@40.4121646993816,-3.6567185117699,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6567185117699!2d40.4121646993816!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Doña Guiomar I - Sporting de Hortaleza,CALLE MONOVAR 8,Pío XII,Avenida Pío XII nº 3,"https://www.google.com/maps/dir/40.478288972462366,-3.6554629730490227/40.46041,-3.67712/@40.478288972462366,-3.6554629730490227,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6554629730490227!2d40.478288972462366!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Doña Guiomar II,CARRETERA ESTACION DE HORTALEZA 7,Pío XII,Avenida Pío XII nº 3,"https://www.google.com/maps/dir/40.47600256074518,-3.6551340067790528/40.46041,-3.67712/@40.47600256074518,-3.6551340067790528,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6551340067790528!2d40.47600256074518!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Doña Guiomar III,CALLE MONÓVAR 4,Pío XII,Avenida Pío XII nº 3,"https://www.google.com/maps/dir/40.47645416086136,-3.656518693476812/40.46041,-3.67712/@40.47645416086136,-3.656518693476812,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.656518693476812!2d40.47645416086136!1m0!3e2"
Instalación Deportiva Municipal Básica Parque El Calero,CALLE VIRGEN DE NURIA S/N,Avenida Donostiarra,Calle Virgen de la Alegría nº 18,"https://www.google.com/maps/dir/40.436286671972276,-3.6526968257803736/40.4351256,-3.6554918/@40.436286671972276,-3.6526968257803736,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6526968257803736!2d40.436286671972276!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Estafeta,CALLE ESTAFETA 4,Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.37401825584634,-3.6925700442599987/40.389258643579105,-3.6903589643353483/@40.37401825584634,-3.6925700442599987,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6925700442599987!2d40.37401825584634!1m0!3e2"
Instalación Deportiva Municipal Básica Parque Eugenia de Montijo,CALLE PARQUE EUGENIA DE MONTIJO S/N,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.378270955401405,-3.754424500702019/40.40913630273305,-3.728533714316331/@40.378270955401405,-3.754424500702019,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.754424500702019!2d40.378270955401405!1m0!3e2"
