Place of interest,Station location,BiciMAD station,Station location,Indications
Instalación Deportiva Básica Puerto Lumbreras,INST. DEPORTIVA BASICA POZA DE LA SAL ,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.37930773206432,-3.603034130954479/40.400368,-3.634587/@40.37930773206432,-3.603034130954479,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.603034130954479!2d40.37930773206432!1m0!3e2"
Instalación Deportiva Básica Rocódromo,AVENIDA LA GAVIA 4 c/v Avenida Cerro Milano,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.37678620920142,-3.608936762154641/40.400368,-3.634587/@40.37678620920142,-3.608936762154641,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.608936762154641!2d40.37678620920142!1m0!3e2"
Instalación Deportiva Básica Sala Municipal de Esgrima,AVENIDA FILIPINAS 7,Parque Santander,Calle Santander esquina con Avenida de Filipinas,"https://www.google.com/maps/dir/40.440630566426094,-3.7090297189969363/40.4411388,-3.7080833/@40.440630566426094,-3.7090297189969363,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7090297189969363!2d40.440630566426094!1m0!3e2"
Instalación Deportiva Básica Santa Eugenia,CALLE CERRO DE ALMODOVAR 11,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.38004993117393,-3.6015066796262865/40.400368,-3.634587/@40.38004993117393,-3.6015066796262865,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6015066796262865!2d40.38004993117393!1m0!3e2"
Instalación Deportiva Básica Skate Real de Arganda,CALLE REAL DE ARGANDA 49,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.37949103344629,-3.6150999353765094/40.400368,-3.634587/@40.37949103344629,-3.6150999353765094,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6150999353765094!2d40.37949103344629!1m0!3e2"
Instalación Deportiva Básica Stela Maris,CALLE PEÑARANDA DE BRACAMONTE 4,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.37533906377627,-3.604183911642277/40.400368,-3.634587/@40.37533906377627,-3.604183911642277,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.604183911642277!2d40.37533906377627!1m0!3e2"
Instalación Deportiva Municipal Básica Abrantes - Colonia Velázquez,AVENIDA ABRANTES 297,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,"https://www.google.com/maps/dir/40.37480368698169,-3.734643175737238/40.398247,-3.716591/@40.37480368698169,-3.734643175737238,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.734643175737238!2d40.37480368698169!1m0!3e2"
Instalación Deportiva Municipal Básica Alameda de Osuna I,CALLE BALANDRO 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.451251451000815,-3.5905626839548366/40.429706,-3.640994/@40.451251451000815,-3.5905626839548366,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.5905626839548366!2d40.451251451000815!1m0!3e2"
Instalación Deportiva Municipal Básica Alas,CALLE ALAS 2,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.472046513237736,-3.5847993053542355/40.44370542379883,-3.648958444298144/@40.472046513237736,-3.5847993053542355,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.5847993053542355!2d40.472046513237736!1m0!3e2"
Instalación Deportiva Municipal Básica Albaicín,CALLE ALBAICIN 19 Orcasur,Glorieta de Cádiz,Calle Antonio López nº 129,"https://www.google.com/maps/dir/40.36818417178253,-3.7023924767814074/40.38895,-3.70017/@40.36818417178253,-3.7023924767814074,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7023924767814074!2d40.36818417178253!1m0!3e2"
Instalación Deportiva Municipal Básica Albaida,CALLE ALBAIDA S/N Parque de San Blas,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.430241502639134,-3.619981910665231/40.429706,-3.640994/@40.430241502639134,-3.619981910665231,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.619981910665231!2d40.430241502639134!1m0!3e2"
Instalación Deportiva Municipal Básica Alcalde Martín de Alzaga,CALLE ALCALDE MARTIN DE ALZAGA S/N,Francos Rodríguez,Calle Francos Rodríguez nº 62,"https://www.google.com/maps/dir/40.46295611393323,-3.7161291203374565/40.45673408797698,-3.708002730875242/@40.46295611393323,-3.7161291203374565,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7161291203374565!2d40.46295611393323!1m0!3e2"
Instalación Deportiva Municipal Básica Alerce,CALLE ALERCE 31 Junto M-40,Glorieta de Cádiz,Calle Antonio López nº 129,"https://www.google.com/maps/dir/40.365063948772985,-3.695446430865286/40.38895,-3.70017/@40.365063948772985,-3.695446430865286,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.695446430865286!2d40.365063948772985!1m0!3e2"
Instalación Deportiva Municipal Básica Alfonso XIII,"AVENIDA ALFONSO XIII 136 c/v Santa María Magdalena, 2",Colombia,Calle Colombia nº 7,"https://www.google.com/maps/dir/40.45990434942118,-3.669142805075655/40.4572466,-3.6763439/@40.45990434942118,-3.669142805075655,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.669142805075655!2d40.45990434942118!1m0!3e2"
Instalación Deportiva Municipal Básica Alhaurín,CALLE ALHAURIN 4,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.47351067334567,-3.585649589064375/40.44370542379883,-3.648958444298144/@40.47351067334567,-3.585649589064375,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.585649589064375!2d40.47351067334567!1m0!3e2"
Instalación Deportiva Municipal Básica Alicún,CALLE ALICUN 24,Chamartín,Calle Rodríguez Jaén nº 40,"https://www.google.com/maps/dir/40.47947157886463,-3.6613616462578946/40.4716,-3.68391/@40.47947157886463,-3.6613616462578946,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6613616462578946!2d40.47947157886463!1m0!3e2"
Instalación Deportiva Municipal Básica Aliseda,CALLE ALISEDA c/v Real Betis,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,"https://www.google.com/maps/dir/40.3761084833036,-3.74193729795335/40.398247,-3.716591/@40.3761084833036,-3.74193729795335,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.74193729795335!2d40.3761084833036!1m0!3e2"
