pk_ins,Place of interest,ins_latitude,ins_longitude,bicimad_latitude,bicimad_longitude,distance,Station location,Station ID,BiciMAD station
4548148,Instalación Deportiva Municipal Básica San Lamberto,40.42153891136008,-3.6510925758289545,40.426207143200884,-3.651034981803642,519.7049006815902,Avenida Marqués de Corbera nº 52,242.0,Marqués de Corbera 52
4548691,Instalación Deportiva Municipal Básica San Pascual,40.43840494775814,-3.655676791131407,40.43965673033275,-3.6557656204708775,139.69963979996123,Calle Derechos Humanos nº 12,239.0,Derechos Humanos
4527560,Instalación Deportiva Municipal Básica San Pol,40.42361742020711,-3.727099101124258,40.4219665,-3.7224983,545.1544128393085,Paseo de la Florida nº 8,132.0,Paseo de la Florida
4669899,Instalación Deportiva Municipal Básica Sanchinarro I,40.48895117841952,-3.65146043719268,40.47938,-3.68532,3924.371318221416,Paseo de la Castellana nº 298,257.0,Manuel Caldeiro
4669966,Instalación Deportiva Municipal Básica Sanchinarro II,40.48895117841952,-3.65146043719268,40.47938,-3.68532,3924.371318221416,Paseo de la Castellana nº 298,257.0,Manuel Caldeiro
4669976,Instalación Deportiva Municipal Básica Sanchinarro III,40.49316433760569,-3.6611026501926633,40.47938,-3.68532,3106.8013136454456,Paseo de la Castellana nº 298,257.0,Manuel Caldeiro
4669997,Instalación Deportiva Municipal Básica Sanchinarro IV,40.48869693430128,-3.645393006068992,40.47938,-3.68532,4572.931126621783,Paseo de la Castellana nº 298,257.0,Manuel Caldeiro
4580475,Instalación Deportiva Municipal Básica Sanchorreja,40.40244721879577,-3.7564266531216193,40.40913630273305,-3.728533714316331,3199.518110890294,Calle Caramuel nº 51,232.0,Caramuel
6309993,Instalación Deportiva Municipal Básica Sangenjo,40.48884298191689,-3.698554678566628,40.481086,-3.688463,1418.7761208346412,Calle Pedro Rico nº 4,225.0,Pedro Rico
4547345,Instalación Deportiva Municipal Básica Santa Ana I,40.49451923627522,-3.694680766255544,40.481086,-3.688463,1648.405956441833,Calle Pedro Rico nº 4,225.0,Pedro Rico
4547356,Instalación Deportiva Municipal Básica Santa Ana II,40.49811073240421,-3.6936911073056353,40.481086,-3.688463,1982.88847126427,Calle Pedro Rico nº 4,225.0,Pedro Rico
4547254,Instalación Deportiva Municipal Básica Santa Hortensia,40.44378407690829,-3.6650091208692905,40.44421,-3.66683,208.57546653408565,Calle Santa Hortensia nº 31,259.0,Corazón de María
4542483,Instalación Deportiva Municipal Básica Santa Petronila,40.34832663162016,-3.692165872799477,40.389258643579105,-3.6903589643353483,4560.98669504184,Calle Sodio nº 1B,243.0,Embajadores 191
4545645,Instalación Deportiva Municipal Básica Santa Rita,40.3793200408424,-3.742667573019971,40.398247,-3.716591,3591.855647141403,Glorieta Marqués de Vadillo nº 9,220.0,Marqués de Vadillo
4542126,Instalación Deportiva Municipal Básica Santa Virgilia,40.47677211929309,-3.641609789568702,40.44370542379883,-3.648958444298144,3771.132815771252,Calle Carlota O'Neill nº 32,238.0,Carlota O’Neill
10967946,Instalación Deportiva Municipal Básica Santuario de Valverde (Montecarmenlo),40.50715972029972,-3.697498319643489,40.481086,-3.688463,3072.530848758495,Calle Pedro Rico nº 4,225.0,Pedro Rico
4627940,Instalación Deportiva Municipal Básica Sepúlveda,40.39882022766974,-3.755867569618557,40.40913630273305,-3.728533714316331,3258.3680095895593,Calle Caramuel nº 51,232.0,Caramuel
4566220,Instalación Deportiva Municipal Básica Seseña,40.397645805419295,-3.757739811336285,40.40913630273305,-3.728533714316331,3500.2477567891397,Calle Caramuel nº 51,232.0,Caramuel
6340686,Instalación Deportiva Municipal Básica Sierra Elvira,40.40514349396312,-3.660433235882449,40.40248333540473,-3.660188083470652,297.38745615237434,Calle Sierra Toledana nº 33,233.0,Doctor Lozano
4582306,Instalación Deportiva Municipal Básica Sierra del Valle,40.3906112368466,-3.658959835961348,40.39382977920336,-3.6659362429356372,856.7166999686948,Calle Arroyo del Olivar nº 6,236.0,Concordia
4528344,Instalación Deportiva Municipal Básica Sinesio Delgado,40.46387990945949,-3.7211400901596057,40.45673408797698,-3.708002730875242,1667.491769456815,Calle Francos Rodríguez nº 62,247.0,Francos Rodríguez
4555827,Instalación Deportiva Municipal Básica Soto Hidalgo,40.46124483748552,-3.5794097699469845,40.429706,-3.640994,7714.379357365461,Calle Gutierre de Cetina nº 77,223.0,Gutierre de Cetina
6342598,Instalación Deportiva Municipal Básica Talbot,40.36591698103636,-3.71073138828298,40.38895,-3.70017,2821.747564286838,Calle Antonio López nº 129,221.0,Glorieta de Cádiz
